"filename", "language", "JavaScript JSX", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\App.js", "JavaScript", 0, 92, 0, 0, 3, 95
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\AddNewProduct.jsx", "JavaScript JSX", 130, 0, 0, 1, 8, 139
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\Allergies.jsx", "JavaScript JSX", 62, 0, 0, 0, 5, 67
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\CartItem.jsx", "JavaScript JSX", 55, 0, 0, 0, 3, 58
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\CartOrderSummary.jsx", "JavaScript JSX", 43, 0, 0, 0, 4, 47
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\CheckoutItem.jsx", "JavaScript JSX", 34, 0, 0, 14, 3, 51
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\CheckoutOrderSummary.jsx", "JavaScript JSX", 92, 0, 0, 0, 7, 99
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\ConfirmRemovalAlert.jsx", "JavaScript JSX", 38, 0, 0, 0, 5, 43
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\Footer.jsx", "JavaScript JSX", 48, 0, 0, 0, 2, 50
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\Navbar.jsx", "JavaScript JSX", 202, 0, 0, 0, 12, 214
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\Notifications.jsx", "JavaScript JSX", 111, 0, 0, 0, 10, 121
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\NotificationsTab.jsx", "JavaScript JSX", 4, 0, 0, 0, 2, 6
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\OrderDetails.jsx", "JavaScript JSX", 152, 0, 0, 0, 7, 159
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\OrdersTab.jsx", "JavaScript JSX", 85, 0, 0, 0, 7, 92
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\PasswordTextField.jsx", "JavaScript JSX", 25, 0, 0, 0, 2, 27
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\PrintButton.jsx", "JavaScript JSX", 7, 0, 0, 0, 3, 10
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\ProductCard.jsx", "JavaScript JSX", 97, 0, 0, 5, 5, 107
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\ProductTableItem.jsx", "JavaScript JSX", 109, 0, 0, 0, 7, 116
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\ProductsTab.jsx", "JavaScript JSX", 113, 0, 0, 0, 6, 119
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\ProtectedAdminRoute.jsx", "JavaScript JSX", 7, 0, 0, 0, 3, 10
