"filename", "language", "JavaScript", "JavaScript JSX", "JSON", "Markdown", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 0, 33, 71
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\package-lock.json", "JSON", 0, 0, 19541, 0, 0, 0, 0, 1, 19542
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\package.json", "JSON", 0, 0, 58, 0, 0, 0, 0, 1, 59
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\public\index.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\public\manifest.json", "JSON", 0, 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\App.js", "JavaScript", 92, 0, 0, 0, 0, 0, 0, 3, 95
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\AddNewProduct.jsx", "JavaScript JSX", 0, 183, 0, 0, 0, 0, 1, 10, 194
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\Allergies.jsx", "JavaScript JSX", 0, 68, 0, 0, 0, 0, 0, 7, 75
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\CartItem.jsx", "JavaScript JSX", 0, 55, 0, 0, 0, 0, 0, 3, 58
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\CartOrderSummary.jsx", "JavaScript JSX", 0, 43, 0, 0, 0, 0, 0, 4, 47
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\CheckoutItem.jsx", "JavaScript JSX", 0, 34, 0, 0, 0, 0, 14, 3, 51
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\CheckoutOrderSummary.jsx", "JavaScript JSX", 0, 92, 0, 0, 0, 0, 0, 7, 99
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\ConfirmRemovalAlert.jsx", "JavaScript JSX", 0, 38, 0, 0, 0, 0, 0, 5, 43
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\Footer.jsx", "JavaScript JSX", 0, 48, 0, 0, 0, 0, 0, 2, 50
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\Navbar.jsx", "JavaScript JSX", 0, 222, 0, 0, 0, 0, 0, 15, 237
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\Notifications.jsx", "JavaScript JSX", 0, 121, 0, 0, 0, 0, 0, 11, 132
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\NotificationsTab.jsx", "JavaScript JSX", 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\OrderDetails.jsx", "JavaScript JSX", 0, 152, 0, 0, 0, 0, 0, 7, 159
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\OrdersTab.jsx", "JavaScript JSX", 0, 85, 0, 0, 0, 0, 0, 7, 92
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\PasswordTextField.jsx", "JavaScript JSX", 0, 25, 0, 0, 0, 0, 0, 2, 27
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\PrintButton.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\ProductCard.jsx", "JavaScript JSX", 0, 110, 0, 0, 0, 0, 5, 6, 121
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\ProductTableItem.jsx", "JavaScript JSX", 0, 166, 0, 0, 0, 0, 0, 7, 173
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\ProductsTab.jsx", "JavaScript JSX", 0, 114, 0, 0, 0, 0, 0, 6, 120
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\ProtectedAdminRoute.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\ProtectedRoute.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\QRcodeGenerator.jsx", "JavaScript JSX", 0, 27, 0, 0, 0, 0, 0, 5, 32
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\Socket.jsx", "JavaScript JSX", 0, 49, 0, 0, 0, 0, 1, 13, 63
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\TextField.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\components\UsersTab.jsx", "JavaScript JSX", 0, 156, 0, 0, 0, 0, 1, 6, 163
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\index.css", "CSS", 0, 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\index.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\products.js", "JavaScript", 137, 0, 0, 0, 0, 0, 0, 5, 142
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\redux\actions\adminActions.js", "JavaScript", 233, 0, 0, 0, 0, 0, 1, 26, 260
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\redux\actions\cartActions.js", "JavaScript", 161, 0, 0, 0, 0, 0, 0, 12, 173
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\redux\actions\orderActions.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 5, 48
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\redux\actions\productActions.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 4, 43
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\redux\actions\userActions.js", "JavaScript", 79, 0, 0, 0, 0, 0, 0, 9, 88
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\redux\slices\admin.js", "JavaScript", 109, 0, 0, 0, 0, 0, 0, 5, 114
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\redux\slices\cart.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 6, 84
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\redux\slices\order.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 6, 50
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\redux\slices\products.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 4, 47
